ep: 0, train mse: 0.022383,train L2: 0.769675,train r2: 0.985906, test mse: 0.012331, test L2: 0.390236,test r2: 0.997689
ep: 1, train mse: 0.012503,train L2: 0.354077,train r2: 0.998037, test mse: 0.012117, test L2: 0.304934,test r2: 0.998398
ep: 2, train mse: 0.011784,train L2: 0.297181,train r2: 0.998467, test mse: 0.011481, test L2: 0.299054,test r2: 0.998568
ep: 3, train mse: 0.011071,train L2: 0.266783,train r2: 0.998748, test mse: 0.010904, test L2: 0.277444,test r2: 0.998530
ep: 4, train mse: 0.010587,train L2: 0.244779,train r2: 0.998901, test mse: 0.010457, test L2: 0.244765,test r2: 0.998856
ep: 5, train mse: 0.010132,train L2: 0.228287,train r2: 0.999066, test mse: 0.009894, test L2: 0.215127,test r2: 0.999242
ep: 6, train mse: 0.009869,train L2: 0.217491,train r2: 0.999128, test mse: 0.009632, test L2: 0.195865,test r2: 0.999266
ep: 7, train mse: 0.009659,train L2: 0.208047,train r2: 0.999221, test mse: 0.009763, test L2: 0.203582,test r2: 0.999241
ep: 8, train mse: 0.009539,train L2: 0.198745,train r2: 0.999263, test mse: 0.009612, test L2: 0.191333,test r2: 0.999399
ep: 9, train mse: 0.009470,train L2: 0.195001,train r2: 0.999262, test mse: 0.009326, test L2: 0.191269,test r2: 0.999340
ep: 10, train mse: 0.009346,train L2: 0.185955,train r2: 0.999317, test mse: 0.009440, test L2: 0.202324,test r2: 0.999241
ep: 11, train mse: 0.009244,train L2: 0.180663,train r2: 0.999339, test mse: 0.009181, test L2: 0.166847,test r2: 0.999469
ep: 12, train mse: 0.009225,train L2: 0.171834,train r2: 0.999428, test mse: 0.009079, test L2: 0.177989,test r2: 0.999321
ep: 13, train mse: 0.009129,train L2: 0.169746,train r2: 0.999401, test mse: 0.009075, test L2: 0.182680,test r2: 0.999381
ep: 14, train mse: 0.009119,train L2: 0.163017,train r2: 0.999466, test mse: 0.009072, test L2: 0.151672,test r2: 0.999467
ep: 15, train mse: 0.009062,train L2: 0.162889,train r2: 0.999387, test mse: 0.009226, test L2: 0.169053,test r2: 0.999436
ep: 16, train mse: 0.009070,train L2: 0.155576,train r2: 0.999434, test mse: 0.009026, test L2: 0.168352,test r2: 0.999313
ep: 17, train mse: 0.009018,train L2: 0.152642,train r2: 0.999478, test mse: 0.009081, test L2: 0.141441,test r2: 0.999538
ep: 18, train mse: 0.008978,train L2: 0.145466,train r2: 0.999538, test mse: 0.009029, test L2: 0.143025,test r2: 0.999519
ep: 19, train mse: 0.008947,train L2: 0.143431,train r2: 0.999529, test mse: 0.008855, test L2: 0.148794,test r2: 0.999521
ep: 20, train mse: 0.008910,train L2: 0.139585,train r2: 0.999553, test mse: 0.008996, test L2: 0.158138,test r2: 0.999354
ep: 21, train mse: 0.008962,train L2: 0.136162,train r2: 0.999536, test mse: 0.009002, test L2: 0.133222,test r2: 0.999555
ep: 22, train mse: 0.008932,train L2: 0.131148,train r2: 0.999561, test mse: 0.008883, test L2: 0.123009,test r2: 0.999593
ep: 23, train mse: 0.008885,train L2: 0.126086,train r2: 0.999595, test mse: 0.008942, test L2: 0.123071,test r2: 0.999616
ep: 24, train mse: 0.008878,train L2: 0.122915,train r2: 0.999616, test mse: 0.009065, test L2: 0.156297,test r2: 0.998958
ep: 25, train mse: 0.008885,train L2: 0.119725,train r2: 0.999617, test mse: 0.008888, test L2: 0.115521,test r2: 0.999620
ep: 26, train mse: 0.008879,train L2: 0.115225,train r2: 0.999629, test mse: 0.008872, test L2: 0.108978,test r2: 0.999630
ep: 27, train mse: 0.008886,train L2: 0.112019,train r2: 0.999633, test mse: 0.008889, test L2: 0.109319,test r2: 0.999640
ep: 28, train mse: 0.008895,train L2: 0.108021,train r2: 0.999654, test mse: 0.008863, test L2: 0.101249,test r2: 0.999654
ep: 29, train mse: 0.008896,train L2: 0.104489,train r2: 0.999656, test mse: 0.008941, test L2: 0.105431,test r2: 0.999652
ep: 30, train mse: 0.008917,train L2: 0.100871,train r2: 0.999668, test mse: 0.008896, test L2: 0.100460,test r2: 0.999661
ep: 31, train mse: 0.008904,train L2: 0.096912,train r2: 0.999682, test mse: 0.008907, test L2: 0.096579,test r2: 0.999671
ep: 32, train mse: 0.008911,train L2: 0.093740,train r2: 0.999690, test mse: 0.008917, test L2: 0.090965,test r2: 0.999679
ep: 33, train mse: 0.008942,train L2: 0.090484,train r2: 0.999693, test mse: 0.008942, test L2: 0.087803,test r2: 0.999683
ep: 34, train mse: 0.008950,train L2: 0.086348,train r2: 0.999706, test mse: 0.008965, test L2: 0.087010,test r2: 0.999683
ep: 35, train mse: 0.008967,train L2: 0.083397,train r2: 0.999709, test mse: 0.008958, test L2: 0.084045,test r2: 0.999691
ep: 36, train mse: 0.008989,train L2: 0.080125,train r2: 0.999715, test mse: 0.009000, test L2: 0.078488,test r2: 0.999699
ep: 37, train mse: 0.009012,train L2: 0.076872,train r2: 0.999720, test mse: 0.009042, test L2: 0.079214,test r2: 0.999697
ep: 38, train mse: 0.009030,train L2: 0.073759,train r2: 0.999725, test mse: 0.009060, test L2: 0.073529,test r2: 0.999704
ep: 39, train mse: 0.009052,train L2: 0.070958,train r2: 0.999729, test mse: 0.009082, test L2: 0.074083,test r2: 0.999706
ep: 40, train mse: 0.009074,train L2: 0.068282,train r2: 0.999733, test mse: 0.009112, test L2: 0.070674,test r2: 0.999708
ep: 41, train mse: 0.009093,train L2: 0.065857,train r2: 0.999735, test mse: 0.009117, test L2: 0.066384,test r2: 0.999713
ep: 42, train mse: 0.009113,train L2: 0.063569,train r2: 0.999738, test mse: 0.009139, test L2: 0.064564,test r2: 0.999716
ep: 43, train mse: 0.009131,train L2: 0.061678,train r2: 0.999740, test mse: 0.009159, test L2: 0.063382,test r2: 0.999718
ep: 44, train mse: 0.009148,train L2: 0.060072,train r2: 0.999743, test mse: 0.009167, test L2: 0.062204,test r2: 0.999719
ep: 45, train mse: 0.009159,train L2: 0.058768,train r2: 0.999744, test mse: 0.009177, test L2: 0.061071,test r2: 0.999721
ep: 46, train mse: 0.009168,train L2: 0.057795,train r2: 0.999745, test mse: 0.009193, test L2: 0.060428,test r2: 0.999721
ep: 47, train mse: 0.009175,train L2: 0.057107,train r2: 0.999746, test mse: 0.009197, test L2: 0.060115,test r2: 0.999722
ep: 48, train mse: 0.009179,train L2: 0.056672,train r2: 0.999747, test mse: 0.009199, test L2: 0.059856,test r2: 0.999722
ep: 49, train mse: 0.009180,train L2: 0.056456,train r2: 0.999747, test mse: 0.009198, test L2: 0.059810,test r2: 0.999722
valid mse: 0.001566,valid L2: 0.046718,valid r2: 0.999888
